"0xbdce18","Name","Description","Character ID","Class ID (support viewer only)","Portrait ID","Mini Portrait","Affinity","Sort Order","Level","HP Base","Strength/Magic Base","Skill Base","Speed","Defense Base","Resistance Base","Luck Base","Constitution Bonus","Sword Rank","Lance Rank","Axe Rank","Bow Rank","Staff Rank","Anima Rank","Light Rank","Dark Rank","HP Growth","Strength/Magic Growth","Skill Growth","Speed Growth","Defense Growth","Resistance Growth","Luck Growth","Battle Palette T1","Battle Palette T2","Unique Battle Anim T1","Unique Battle Anim T2","Zero","Ability Bitfield","Support Pointer","Conversation Group","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)"
"0x63 Lloyd (Four-Fanged Offense)","0x535","0x205","0x63","0x10","0x65","0","7","0","12","20","12","8","9","3","13","16","0","181","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x69","0x0","0x6","0x0","0x8000","0x8c98f38","4","0x0","0x0","0x0"
"0x64 Linus (Four-Fanged Offense)","0x536","0x206","0x64","0xc","0x66","0","2","0","12","23","15","9","2","6","10","14","4","181","0","181","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x1f","0x0","0x3","0x0","0x8000","0x8c98f50","4","0x0","0x0","0x0"
"0x65 Lloyd (Cog of Destiny)","0x535","0x205","0x65","0x10","0x65","0","7","0","18","31","14","12","11","10","17","16","0","251","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x69","0x0","0x7","0x0","0x8008000","0x0","4","0x0","0x0","0x0"
"0x66 Linus (Cog of Destiny)","0x536","0x206","0x66","0xc","0x66","0","2","0","18","36","18","11","5","11","13","14","4","251","0","181","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x1f","0x0","0x4","0x0","0x8008000","0x0","4","0x0","0x0","0x0"
"0x67 Bandit","0x54f","0x21e","0x67","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x68 Bandit","0x54f","0x21e","0x68","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x69 Bandit","0x54f","0x21e","0x69","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x6A Laus","0x552","0x21f","0x6a","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x6B Laus","0x552","0x21f","0x6b","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x6C Pirate","0x550","0x220","0x6c","0x3a","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x6D Black Fang","0x557","0x221","0x6d","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x6E Black Fang","0x557","0x221","0x6e","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0x6F Ostia","0x554","0x222","0x6f","0x38","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x70 Black Fang","0x557","0x221","0x70","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x71 Guardian","0x558","0x223","0x71","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x72 Morph","0x559","0x228","0x72","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","0","0x0","0x0","0x0"
"0x73 Morph","0x559","0x228","0x73","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","0","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","0","0x0","0x0","0x0"
"0x74 Morph","0x559","0x228","0x74","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8080000","0x0","0","0x0","0x0","0x0"
"0x75 Caelin","0x553","0x225","0x75","0x38","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","71","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x76 Caelin","0x553","0x225","0x76","0x38","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","71","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x77 Caelin","0x553","0x225","0x77","0x38","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","71","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x78 Laus","0x552","0x21f","0x78","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0x79 Laus","0x552","0x21f","0x79","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0x7A Zephiel","0x53a","0x212","0x7a","0x4d","0x51","0","0","0","11","10","7","7","8","8","13","5","0","181","0","0","0","0","0","0","0","80","40","50","40","25","40","60","0x0","0x0","0x0","0x0","0x0","0x0","0x0","3","0x0","0x0","0x0"
"0x7B Elbert","0x53b","0x213","0x7b","0x47","0x4f","0","0","0","18","22","16","18","20","13","13","1","0","181","181","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x0","0x0","0x0","0x0","0x0","0x0","3","0x0","0x0","0x0"
"0x7C Black Fang","0x557","0x221","0x7c","0x16","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0x7D Black Fang","0x557","0x221","0x7d","0x26","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x7E Black Fang","0x557","0x221","0x7e","0x1e","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x7F Morph","0x559","0x228","0x7f","0x16","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","0","0x0","0x0","0x0"
"0x80 Morph","0x559","0x228","0x80","0xc","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","0","0x0","0x0","0x0"
"0x81 Morph","0x559","0x228","0x81","0x10","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","0","0x0","0x0","0x0"
"0x82 Morph","0x559","0x228","0x82","0x1a","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","0","0x0","0x0","0x0"
"0x83 Black Fang","0x557","0x221","0x83","0x3c","0x0","3","0","0","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x84 Brendan","0x527","0x204","0x84","0x13","0x64","0","6","0","18","10","7","3","1","2","1","2","2","0","0","251","181","0","0","0","0","85","50","10","10","10","15","30","0x0","0x71","0x0","0x0","0x0","0x8000","0x0","3","0x0","0x0","0x0"
"0x85 Limstella","0x537","0x209","0x85","0x5a","0x67","0","0","0","20","49","20","14","12","21","21","0","0","0","0","0","0","251","251","0","0","85","50","10","10","10","15","30","0x0","0x54","0x0","0x0","0x0","0x808c000","0x0","0","0x0","0x0","0x0"
"0x86 Dragon","0x538","0x214","0x86","0x46","0x0","1","5","0","20","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x0","0x0","0x0","0x0","0x1008000","0x0","4","0x0","0x0","0x0"
"0x87 Batta","0x53c","0x1e1","0x87","0x39","0x88","0","0","0","2","1","0","0","-2","0","0","2","-2","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x10","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0x88 Bandit","0x54f","0x21e","0x88","0x39","0x0","3","0","0","1","0","0","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x89 Zugu","0x53d","0x1e2","0x89","0x39","0x89","0","0","0","4","3","1","1","-1","1","0","1","-1","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x15","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0x8A Bandit","0x551","0x224","0x8a","0x39","0x0","3","0","0","1","0","-2","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x8B Bandit","0x551","0x224","0x8b","0x39","0x0","3","0","0","1","0","-2","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x8C Bandit","0x551","0x224","0x8c","0xa","0x0","3","0","0","1","0","-2","-3","-3","-1","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x8D Glass","0x53e","0x1e3","0x8d","0xa","0x8a","0","0","0","3","2","1","-4","-3","-1","0","0","0","71","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x3c","0x0","0x0","0x0","0x0","0x8008000","0x0","0","0x0","0x0","0x0"
"0x8E Migal","0x53f","0x1e4","0x8e","0x39","0x8b","0","0","0","6","5","2","2","0","2","0","2","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x13","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0x8F Bandit","0x551","0x224","0x8f","0x39","0x0","3","0","0","1","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x90 Bandit","0x551","0x224","0x90","0x39","0x0","3","0","0","1","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x91 Bandit","0x551","0x224","0x91","0x18","0x0","3","0","0","1","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x92 Bandit","0x551","0x224","0x92","0xa","0x0","3","0","0","1","-2","0","-1","-3","-1","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x93 Bandit","0x551","0x224","0x93","0xa","0x0","3","0","0","1","-1","0","-1","-2","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x94 Carjiga","0x540","0x1e5","0x94","0x39","0x8c","0","0","0","8","7","1","4","-1","4","0","2","3","0","0","71","0","0","0","0","0","60","20","30","35","15","15","25","0x12","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0x95 Bandit","0x54f","0x21e","0x95","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x96 Bandit","0x54f","0x21e","0x96","0x39","0x0","3","0","0","1","0","-2","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x97 Bandit","0x54f","0x21e","0x97","0xa","0x0","3","0","0","1","-1","-1","0","-3","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x98 Bandit","0x54f","0x21e","0x98","0x18","0x0","3","0","0","1","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x99 Bug","0x541","0x1e6","0x99","0x39","0x8d","0","0","0","9","9","3","3","1","5","0","1","3","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x11","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0x9A Bandit","0x54f","0x21e","0x9a","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x9B Bandit","0x54f","0x21e","0x9b","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x9C Bandit","0x54f","0x21e","0x9c","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x9D Bandit","0x54f","0x21e","0x9d","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x9E Natalie","0x543","0x1e9","0x9e","0x48","0x5b","0","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x4000","0x0","0","0x0","0x0","0x0"
"0x9F Bool","0x542","0x1e7","0x9f","0x14","0x8f","0","0","0","5","9","3","2","2","1","0","1","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x5","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xA0 Bandit","0x54f","0x21e","0xa0","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA1 Bandit","0x54f","0x21e","0xa1","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA2 Bandit","0x54f","0x21e","0xa2","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA3 Bandit","0x54f","0x21e","0xa3","0x18","0x0","3","0","0","1","2","-1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA4 Bandit","0x54f","0x21e","0xa4","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA5 Bandit","0x54f","0x21e","0xa5","0xa","0x0","3","0","0","1","-2","0","-1","-3","-1","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xA6 Heintz","0x544","0x1e8","0xa6","0x24","0x90","0","0","0","5","6","1","4","5","1","1","3","2","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x5b","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xA7 Black Fang","0x557","0x221","0xa7","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA8 Black Fang","0x557","0x221","0xa8","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA9 Black Fang","0x557","0x221","0xa9","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAA Black Fang","0x557","0x221","0xaa","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAB Black Fang","0x557","0x221","0xab","0x24","0x0","3","0","0","1","6","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAC Black Fang","0x557","0x221","0xac","0x20","0x0","3","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAD Beyard","0x545","0x1ea","0xad","0xa","0x91","0","0","0","7","6","2","0","-1","1","1","4","1","121","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x3b","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xAE Black Fang","0x557","0x221","0xae","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAF Black Fang","0x557","0x221","0xaf","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB0 Black Fang","0x557","0x221","0xb0","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB1 Black Fang","0x557","0x221","0xb1","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB2 Black Fang","0x557","0x221","0xb2","0x3c","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB3 Black Fang","0x557","0x221","0xb3","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB4 Black Fang","0x557","0x221","0xb4","0x24","0x0","3","0","0","1","0","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB5 Black Fang","0x557","0x221","0xb5","0x20","0x0","3","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB6 Yogi","0x546","0x1eb","0xb6","0x14","0x92","0","0","0","6","8","4","5","3","2","1","2","-1","0","71","0","0","0","0","0","0","60","20","30","35","15","15","25","0xb","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xB7 Caelin","0x553","0x225","0xb7","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB8 Caelin","0x553","0x225","0xb8","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB9 Caelin","0x553","0x225","0xb9","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBA Caelin","0x553","0x225","0xba","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBB Caelin","0x553","0x225","0xbb","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBC Caelin","0x553","0x225","0xbc","0x24","0x0","3","0","0","1","0","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBD Caelin","0x553","0x225","0xbd","0x20","0x0","3","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBE Eagler","0x547","0x1ec","0xbe","0x2a","0x93","0","0","0","1","7","3","2","0","2","2","2","1","181","181","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x7","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xBF Caelin","0x553","0x225","0xbf","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC0 Caelin","0x553","0x225","0xc0","0x3a","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC1 Caelin","0x553","0x225","0xc1","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC2 Caelin","0x553","0x225","0xc2","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC3 Caelin","0x553","0x225","0xc3","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC4 Caelin","0x553","0x225","0xc4","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC5 Lundgren","0x548","0x1ed","0xc5","0x16","0x94","0","0","0","5","14","4","4","2","1","4","6","0","0","181","181","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x35","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xC6 Caelin","0x553","0x225","0xc6","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC7 Caelin","0x553","0x225","0xc7","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC8 Caelin","0x553","0x225","0xc8","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC9 Caelin","0x553","0x225","0xc9","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xCA Caelin","0x553","0x225","0xca","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
