0xbe222c,Name,Description,Use Description,Item ID,Item/Weapon Type,Item Ability Bitfield,Stat Bonuses Pointer,Effectiveness Pointer,Durability,Might,Hit%,Weight,Critical%,Min - Max Range,Cost Per Use (0 = Unsellable),Weapon Rank,Item Icon,Staff/Use Effect,Weapon Effect,Weapon Experience,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero)
0x91 Rex Hasta,0x413,0x29a,0x0,0x91,WLance,IsWeapon,0x0,0x0,25,21,80,11,0,0x11,600,SRank,0xa4,0x0,0x0,1,1,0,0
0x92 Basilikos,0x424,0x2ac,0x0,0x92,WAxe,IsWeapon,0x0,0x0,25,22,75,13,0,0x11,600,SRank,0xa5,0x0,0x0,1,1,0,0
0x93 Rienfleche,0x42d,0x2b5,0x0,0x93,WBow,IsWeapon,0x0,EffFlier|IsPointer,25,20,80,7,0,0x22,600,SRank,0xa6,0x0,0x0,1,1,0,0
0x94 Heavy Spear,0x414,0x29b,0x0,0x94,WLance,IsWeapon,0x0,EffArmor|IsPointer,16,9,70,14,0,0x11,75,DRank,0xa7,0x0,0x0,1,1,0,0
0x95 Short Spear,0x415,0x29c,0x0,0x95,WLance,IsWeapon,0x0,0x0,18,9,60,12,0,0x12,50,CRank,0xa8,0x0,0x0,1,1,0,0
0x96 Ocean Seal,0x460,0x2e8,0x329,0x96,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,50000,NoRank,0xa9,0x32,0x0,0,1,0,0
0x97 3000 G,0x48e,0x2ff,0x33d,0x97,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,3000,NoRank,0x89,0x0,0x0,0,1,0,0
0x98 5000 G,0x48d,0x2ff,0x33d,0x98,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,NoRank,0x89,0x0,0x0,0,1,0,0
0x99 Wind Sword,0x489,0x301,0x0,0x99,WSword,IsWeapon|MagicDamage,0x0,EffFlier|IsPointer,40,9,70,9,0,0x12,200,BRank,0xaa,0x0,0x0,1,1,0,0
0x9A Vulnerary 2,0x46c,0x2f4,0x335,0x9a,WItem,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0x6a,0x33,0x0,0,1,0,0
0x9B Red Note,0x46c,0x2f4,0x335,0x9b,WItem,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0xab,0x34,0x0,0,1,0,0
0x9C Green Note,0x46c,0x2f4,0x335,0x9c,WItem,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0xac,0x35,0x0,0,1,0,0
0x9D Dance,0x48b,0x30a,0x346,0x9d,WRing,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x0,0x0,0x0,0,0,0,0
0x9E Play,0x48c,0x30b,0x347,0x9e,WRing,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x0,0x0,0x0,0,0,0,0
