"0xc965a0","Main Portrait Pointer","Mini Portrait Pointer","Palette Pointer","Mouth Pointer","Generic Portrait Pointer (usually 00s)","Mouth X-Position","Mouth Y-Position","Eye X-Position","Eye Y-Position","Eye Control","##UNKNOWN##"
"0xCC Enemy Cavalier card","0x0","0x0","0x8bf2a4c","0x0","0x8bf2a6c","0","0","0","0","0x1","0x0"
"0xCD Enemy Paladin card","0x0","0x0","0x8bf2144","0x0","0x8bf2164","0","0","0","0","0x1","0x0"
"0xCE Enemy Troubadour card","0x0","0x0","0x8bf19d0","0x0","0x8bf19f0","0","0","0","0","0x1","0x0"
"0xCF Enemy Valkyrie card","0x0","0x0","0x8bf11fc","0x0","0x8bf121c","0","0","0","0","0x1","0x0"
"0xD0 Enemy Nomad card","0x0","0x0","0x8bf0a84","0x0","0x8bf0aa4","0","0","0","0","0x1","0x0"
"0xD1 Enemy Nomadic Trooper card","0x0","0x0","0x8bf02e0","0x0","0x8bf0300","0","0","0","0","0x1","0x0"
"0xD2 Enemy Pegasus card","0x0","0x0","0x8bef9e4","0x0","0x8befa04","0","0","0","0","0x1","0x0"
"0xD3 Enemy Falcon Knight card","0x0","0x0","0x8bef0b8","0x0","0x8bef0d8","0","0","0","0","0x1","0x0"
"0xD4 Enemy Dragon Knight card","0x0","0x0","0x8bee894","0x0","0x8bee8b4","0","0","0","0","0x1","0x0"
"0xD5 Enemy Dragon Master card","0x0","0x0","0x8bee020","0x0","0x8bee040","0","0","0","0","0x1","0x0"
"0xD6 Enemy Soldier card","0x0","0x0","0x8bed9ec","0x0","0x8beda0c","0","0","0","0","0x1","0x0"
"0xD7 Enemy Brigand card","0x0","0x0","0x8bed298","0x0","0x8bed2b8","0","0","0","0","0x1","0x0"
"0xD8 Enemy Pirate card","0x0","0x0","0x8beca50","0x0","0x8beca70","0","0","0","0","0x1","0x0"
"0xD9 Enemy Berserker card","0x0","0x0","0x8bec244","0x0","0x8bec264","0","0","0","0","0x1","0x0"
"0xDA Enemy Thief card","0x0","0x0","0x8bebcb8","0x0","0x8bebcd8","0","0","0","0","0x1","0x0"
"0xDB Enemy Mamkute card","0x0","0x0","0x8beb35c","0x0","0x8beb37c","0","0","0","0","0x1","0x0"
"0xDC Enemy Mercenary card","0x0","0x0","0x8bead64","0x0","0x8bead84","0","0","0","0","0x1","0x0"
"0xDD Enemy Hero card","0x0","0x0","0x8bea734","0x0","0x8bea754","0","0","0","0","0x1","0x0"
"0xDE Enemy Fire Dragon card","0x0","0x0","0x8be9d9c","0x0","0x8be9dbc","0","0","0","0","0x1","0x0"
"0xDF Anna","0x8be95b4","0x8be951c","0x8be8efc","0x8be8f1c","0x0","2","6","3","4","0x1","0x0"
"0xE0 Jake","0x8be8864","0x8be87cc","0x8be81ac","0x8be81cc","0x0","2","5","3","3","0x1","0x0"
"0xE1 Armory man (not a full sized portrait)","0x8be7bb8","0x0","0x8be7598","0x8be75b8","0x0","3","2","2","0","0x1","0x0"
"0xE2 Arena man (not a full sized portrait)","0x8be6ff8","0x0","0x8be69d8","0x8be69f8","0x0","3","2","2","0","0x1","0x0"
"0xE3 Shop girl (not a full sized portrait)","0x8be63c0","0x0","0x8be5da0","0x8be5dc0","0x0","3","3","2","0","0x1","0x0"
"0xE4 Anna (Secret shop)","0x8be578c","0x0","0x8be516c","0x8be518c","0x0","3","3","2","0","0x1","0x0"
"0xe4","0x2b2a2928","0x16140007","0x91715","0x2b2a2928","0x17151614","46","47","48","49","0x2c","0x9072d"
"0xe5","0x100f0e00","0xc0b0a11","0x2e00080d","0x2c31302f","0x2a29282d","43","7","0","70","0x0","0x353446"
"0xe6","0x46003736","0x37363534","0x33320045","0x37363534","0x7040100","0","10","11","14","0xf","0x280012"
"0xe7","0x151429","0x2f2e1918","0x35343200","0x201d1c00","0x2c252421","0","14","16","17","0x0","0xe0b0a"
"0xe8","0x2839120f","0x18151429","0x322f2e19","0x1d1c3534","0x25242120","44","0","2","3","0x0","0x80502"
"0xe9","0x9060300","0x20100","0x4140003a","0x1003c00","0x3000704","6","9","0","2","0x5","0x420008"
"0xea","0x0","0x1","0x83b8a80","0x83b8a78","0x3","112","138","59","8","0x68","0x83b8a"
"0xeb","0x1","0x83b8a60","0x83b8a78","0xa","0x83b8a58","76","138","59","8","0x13","0x0"
"0xec","0x83b8a44","0x83b8a3c","0xe","0x83b8a38","0x83b8a28","16","0","0","0","0x20","0x83b8a"
"0xed","0x83b8a14","0x12","0x83b8a0c","0x83b8a04","0x12","252","137","59","8","0x4","0x83b8a"
"0xee","0x47","0x83b89f0","0x83b89e4","0x14","0x83b89dc","208","137","59","8","0x3b","0x0"
"0xef","0x83b89c8","0x83b89bc","0x18","0x83b89b0","0x83b89a8","24","0","0","0","0xa0","0x83b89"
"0xf0","0x83b89a8","0x1a","0x83b8998","0x83b8990","0x1c","136","137","59","8","0x80","0x83b89"
"0xf1","0x1d","0x83b8978","0x83b896c","0x1e","0x83b8964","92","137","59","8","0x20","0x0"
"0xf2","0x83b8958","0x83b8950","0x20","0x83b8948","0x83b8950","34","0","0","0","0x40","0x83b89"
"0xf3","0x83b8938","0x24","0x83b8930","0x83b8928","0x28","28","137","59","8","0xc","0x83b89"
"0xf4","0x28","0x83b8900","0x83b890c","0x28","0x83b88f8","12","137","59","8","0x2a","0x0"
"0xf5","0x83b88f0","0x83b88e8","0x2c","0x83b88dc","0x83b88cc","46","0","0","0","0xc0","0x83b88"
"0xf6","0x83b88b8","0x32","0x83b88ac","0x83b889c","0x32","148","136","59","8","0x9c","0x83b88"
"0xf7","0x32","0x83b888c","0x83b889c","0x34","0x83b8884","116","136","59","8","0x36","0x0"
"0xf8","0x83b886c","0x83b885c","0x3b","0x83b8854","0x83b89bc","60","0","0","0","0x4c","0x83b88"
"0xf9","0x83b8844","0x3e","0x83b883c","0x83b8830","0x40","40","136","59","8","0x1c","0x83b88"
"0xfa","0x41","0x83b8814","0x83b880c","0x42","0x83b8804","252","135","59","8","0x44","0x0"
"0xfb","0x83b87f0","0x83b87e0","0x41","0x83b87d8","0x83b880c","22","0","0","0","0xd0","0x83b87"
"0xfc","0x83b87c8","0x36","0x83b87c0","0x83b885c","0x14","184","135","59","8","0xd0","0x83b89"
"0xfd","0x1","0x83b87b4","0x83b8a78","0x18","0x83b87ac","168","137","59","8","0x28","0x0"
"0xfe","0x83b87a4","0x83b890c","0x28","0x83b879c","0x83b890c","50","0","0","0","0x94","0x83b87"
"0xff","0x83b889c","0x2e","0x83b878c","0x83b88b8","0x3a","132","135","59","8","0x78","0x83b87"
