"0xb7b58c","Class Name","Class Description","Class Number","This Class Promotes To","Map Sprite# (standing)","Walking Speed","Default portrait","***UNKNOWN***","***UNKNOWN***","Base HP","Base STR/MGC","Base SKL","Base SPD","Base DEF","Base MDF","Base CON","Base MOV","Max HP","Max STR/MGC","Max SKL","Max SPD","Max DEF","Max MDF","Max CON","Class Relative Power","HP Growth","Str Growth","Skl Growth","Spd Growth","Def Growth","Res Growth","Luck Growth","HP Promotion Bonus","STR/MGC Promotion Bonus","SKL Promotion Bonus","SPD Promotion Bonus","DEF Promotion Bonus","RES Promotion Bonus","Class Ability 1","Class Ability 2","Class Ability 3","Class Ability 4","Base Sword Level","Base Spear Level","Base Axe Level","Base Bow Level","Base Staff Level","Base Anima Level","Base Light Level","Base Dark Level","Battle Animation Pointer","Movement Cost Pointer","Movement Cost(rain) Pointer","Movement Cost(snow) Pointer","Terrain defence bonus","Terrain avoid bonus","Terrain resistance bonus","***UNKNOWN*** Pointer"
"Brigand","0x67e3","0x43b7","0x2b","0x4e","0x79","230","0x9d","0x2","0xf6","34","70","-65","55","127","-22","39","-17","17","-45","73","42","-87","-101","116","0xa","-13","63","-127","-92","-77","-88","98","30","-5","-9","9","-50","71","0xfd","0xe4","0x37","0xf1","188","242","36","170","79","85","134","110","0xc565fdf1","0xef41ebea","0x7a83ad0f","0xd3b7710b","0x2fef8b9f","0x127562b","0xbeff22aa","0xcd29a210"
"Pirate","0xd1b2","0xa16b","0x1","0x3c","0xcc","29","0xc6","0x3f","0x6c","45","52","88","-99","4","67","121","2","-63","-112","87","-70","-27","-44","-33","0xb4","31","-117","117","-64","125","-69","115","-54","-54","84","46","-92","-66","0xd0","0xd5","0x49","0x2a","29","175","178","55","235","56","82","134","0xe577d6b4","0xeef62ed0","0xa32d02f5","0x8aaa093c","0xfeebf435","0x6d44975f","0x439d0d03","0x98693bab"
"Berserker","0x9bd6","0x9e71","0x4","0x81","0x71","236","0x66","0x62","0xbf","19","-62","13","86","-30","2","18","91","51","-128","-112","-128","-29","-2","-94","0xee","109","73","69","62","66","-98","-25","46","111","-4","-56","45","-95","0xfb","0x23","0xab","0x44","214","253","141","100","27","250","66","231","0xaa3ccb49","0x6d4be94d","0x7fbf0d15","0x2dbfb105","0x532b892c","0xf8ad0edd","0xc34524ea","0x70976fca"
"Thief","0xeecd","0xf9df","0x8b","0x75","0x40","178","0xd","0x7d","0xa1","87","-90","-118","-67","-28","-120","60","9","23","127","-66","96","-49","102","-104","0x27","1","-105","59","-70","-31","70","-48","126","60","-20","-116","81","41","0x1e","0x81","0xf9","0x6e","197","213","189","117","106","73","215","117","0xe32a0125","0xec5ec9e7","0x7c2511e7","0x2b43b70b","0x67c8f94e","0x65366ec7","0x45aa4908","0x7b205687"
"Thief (F)","0x86a3","0x15f9","0x24","0xba","0x13","37","0x9","0x3a","0xec","-37","83","42","22","95","46","-56","94","7","-107","-20","-29","124","100","-101","0x4e","2","-86","-52","-98","48","100","73","-106","-23","2","-69","-91","-30","0x3a","0xe1","0x1b","0xe5","46","163","230","236","141","136","195","211","0x5e452a49","0x350a68b6","0x137e14e9","0x89d8047d","0x523686dd","0x97f9670e","0xf4012756","0x267dff24"
"Assassin","0xd4d6","0x9f2e","0x66","0xda","0x2d","97","0xfd","0x2","0x81","-85","-81","-87","-49","-42","-2","90","73","42","-29","103","-67","111","51","-24","0x64","30","89","37","98","-63","-7","-96","-67","31","-46","66","-58","-87","0xa3","0x5c","0xfd","0x10","49","157","4","170","69","135","86","32","0xa0f6a37b","0x41d6fb77","0x546a05bd","0xa9958588","0xe7fa978b","0x6e532a49","0xc4ce260d","0xa09f5761"
"Civilian","0x5b6","0xee9","0xa9","0x7f","0xbd","145","0xef","0x9d","0x57","39","1","-86","39","40","-59","-32","-5","-84","82","68","-115","81","76","-101","0x4","42","69","45","33","-125","-65","109","54","-66","-88","-29","-43","32","0x88","0x97","0xc0","0x83","111","163","154","186","188","45","76","39","0xc6718101","0x9d764105","0xc9904b76","0x92b5f37","0xf4358aaa","0xbeeefeeb","0xaa4866e4","0x948dff4"
"Dancer","0xfe94","0x7881","0x1c","0x32","0x54","42","0xc1","0xfc","0x82","105","-109","-86","-89","-106","63","76","-70","-18","-84","-59","-124","-1","55","-72","0x96","-46","-37","-51","56","-66","-4","-73","89","-9","60","9","68","90","0x6b","0xd2","0x29","0xfc","246","178","255","76","13","1","198","207","0xbfcb295","0xbef9d0f3","0x452a24bb","0xda5b193e","0x77592712","0xa6e02fea","0xef5a1a8e","0xecdf6895"
"Bard","0x49c7","0x5702","0xc5","0x5e","0xde","68","0x22","0x57","0xa1","-7","-54","-101","47","-85","-18","-11","-97","37","1","6","-78","-99","46","109","0xa2","-124","96","-58","5","82","-111","80","-69","-8","-2","-107","-94","-103","0xe2","0xea","0x24","0xaa","117","25","168","173","95","107","209","208","0x7a8a24d7","0x97815bee","0x2a1274c2","0x3a812d45","0xc9cab7e9","0x462096fd","0xb683c9fe","0x90111efc"
"Archsage","0x1258","0x2bf3","0xb8","0xb7","0xd2","126","0xec","0x79","0x36","-39","4","-125","-104","-36","111","-119","-96","58","9","-86","43","87","41","106","0x9","-54","53","-63","-121","118","92","-56","-109","-86","43","87","-23","-111","0xd7","0xa6","0xec","0x83","77","254","113","174","36","170","235","186","0x3d2a4954","0xf01da34b","0x2141458b","0x30f14c27","0x76f18144","0xfdf14e85","0xa6284565","0x1975aa93"
"Magic Seal","0xada8","0x4e3f","0xe9","0x14","0x8a","135","0xa9","0x2","0x85","16","77","-87","-27","78","33","-53","95","-116","-68","58","9","-86","39","40","0xb9","92","-74","-26","-89","-77","53","-23","20","-2","52","86","-119","-99","0xa6","0x9b","0x97","0x4a","117","227","92","73","170","107","78","199","0x49b065f5","0x4a7796d7","0xdb232ecf","0xbd7d4fe6","0x989af305","0xb48a0127","0xd6ddbc65","0x6eabd7bb"
"Transporter Tent","0x1585","0x5b7b","0x59","0xfe","0x9e","95","0x4b","0x2","0x57","86","-65","63","-76","-25","-5","23","72","52","-106","4","42","-29","103","114","0xe9","121","68","-19","-114","-64","-79","-13","42","-26","-65","-70","74","-98","0x83","0x75","0xef","0xcc","184","172","20","195","116","18","170","162","0x72dd10a0","0x89134c27","0x9c85341c","0xbeceaf3d","0xfcb0eba9","0x416493ab","0x322ec721","0x699b8e04"
"Dark Druid","0x2ecf","0x7be3","0xe7","0x14","0x6a","8","0x49","0xc6","0xcc","77","-63","101","-9","41","-103","-9","-61","-32","-10","68","52","-67","-8","65","0x82","73","2","-58","-49","123","91","2","-65","-44","52","127","51","-71","0xc","0x5d","0xd8","0x94","186","244","135","150","101","111","90","98","0xa693abdd","0x9c4c1adc","0xd8bd9e79","0x8114374e","0xfdb768bd","0x8aa79f67","0xfc2f437d","0x27aa0926"
"Fire Dragon","0x517c","0x4dbb","0xc3","0x82","0x8c","104","0x12","0x9e","0xfc","10","-97","-117","-69","24","-14","-60","70","-99","-120","-84","113","-34","116","18","0xaa","39","40","-73","-67","-54","-34","-124","0","-19","98","-17","94","47","0xd0","0x32","0x9a","0x4e","2","42","83","149","81","99","221","5","0x1576dee","0xfb536f03","0x83747536","0x12b32a41","0x65aa2499","0x56ef5d0c","0x9a236e04","0x756ba42"
"Civilian","0x891e","0xbacb","0x20","0x3e","0xb2","182","0xd9","0xb8","0xbe","-23","36","-86","-94","-96","89","-70","120","24","98","48","102","22","60","-30","0x55","-32","-98","3","59","-28","117","-97","-112","39","1","-110","-84","-108","0xdc","0xe8","0xfc","0xb4","198","91","35","158","93","134","186","255","0x82fd7e9b","0x9e742fac","0x374caa04","0x35f21e90","0xbd67e309","0x1dfa9b6f","0x397e1e9c","0xa2aa049d"
"Civilian (F)","0x50a0","0x78a7","0x98","0xf4","0x83","173","0x85","0x0","0xfb","-83","121","12","101","55","52","-65","96","-38","36","-35","9","31","10","-62","0xd4","-105","127","-18","21","-98","-8","-20","-48","95","-121","-96","56","-37","0xb4","0xf2","0x24","0xc6","204","2","191","212","52","127","107","11","0x1e5ab6bf","0x3fa1b648","0xf17e6eeb","0xcfc624f3","0x98ce5b7b","0xc6769bfa","0xe04773e3","0x6fe69a97"
"Child","0x876e","0x9c56","0x72","0x75","0x24","1","0x45","0xc3","0xca","111","-105","120","-97","-119","-67","-35","-19","-38","20","-16","-71","35","104","-89","0xda","-34","-28","50","116","-13","36","-118","34","-35","55","-92","91","-99","0x4","0xa1","0x16","0xba","19","158","186","31","230","225","34","37","0xf57528ac","0x2bb9fdf1","0xb10ace4b","0x91bdbf24","0x9212efc2","0x7a2e467a","0xcb92eec2","0x9cc7ed88"
"Brammimond","0x5fa5","0x1245","0x6","0xe4","0x96","93","0xf","0xb1","0x56","39","9","6","-28","-106","-35","-64","104","73","-53","44","-62","48","-41","-65","0x24","1","18","43","-35","103","22","-115","-86","72","2","50","70","34","0x9","0xde","0x1f","0x52","168","34","9","161","164","208","32","9","0x8aba966c","0x217a7e24","0x922a85c","0x39ffef9c","0x274dea52","0x70fca601","0x3243b6e6","0x7f027a09"
"Peer","0xcbd","0x8329","0x3b","0x9","0x7a","2","0xf9","0xd7","0xba","58","73","6","-94","47","-4","-23","36","122","-98","-96","71","77","2","-117","0xff","-27","127","-9","91","-117","-101","4","93","53","-38","107","-27","37","0x1","0x7a","0x9e","0xa1","71","77","2","122","158","167","71","77","0x3bc34502","0x9bdffc3f","0xc0ca45f1","0xb5267ad8","0xa828c8bb","0x6490d39","0xd9f3d126","0x5c0c50fb"
"Peer (F)","0x612","0xe066","0x38","0x85","0x24","122","0x7e","0x2c","0x2f","9","-59","78","-117","-3","38","1","122","126","-47","51","56","9","-115","103","0x13","-110","-59","-2","-110","21","43","121","79","2","-103","46","-77","45","0x84","0x93","0x7a","0x7e","208","243","149","158","191","147","129","158","0x1274fa8","0x2488cf4","0x49899d71","0xe43984bb","0x9da1f524","0x509e8b04","0x57f6125e","0x167a24a7"
"Prince","0x5793","0x8112","0x9e","0x28","0x85","73","0x81","0x9e","0x28","-123","73","-118","34","109","-108","4","-100","-11","86","18","122","2","13","76","0x95","4","-127","92","-114","-122","36","79","-110","-43","-84","85","-111","4","0x8f","0x4c","0xbd","0x69","67","90","73","140","48","116","158","4","0x5f11947a","0x3f8b0125","0x7192ae73","0x35e756d9","0x26166c09","0xcb87e765","0xbf8b024b","0x7f8d248a"
"Queen","0x49b","0x5a8b","0x9d","0x24","0x6e","120","0x4d","0x2","0x6c","22","38","101","-25","-121","-53","-61","-73","-29","-94","-111","-71","52","-43","-109","0x81","117","-122","-59","126","-110","-65","-35","-48","-56","-24","93","-40","126","0xcc","0xa9","0xd9","0xb9","5","110","18","75","2","129","113","236","0x33425266","0xd5ba4da2","0x6958ee49","0xad786e12","0xf49f024e","0x493a850","0xf524938b","0x67bacaf9"
"Hung Leila","0x7a88","0x7d1d","0xd9","0x97","0x56","39","0x1","0x64","0x41","70","-77","123","-98","-77","85","39","1","-13","95","-99","-33","-12","-91","121","0x12","54","10","-84","123","-15","69","-107","4","-53","-120","109","111","37","0x1","0x71","0xd9","0x56","18","140","96","45","9","126","157","213","0x8d127706","0x99221367","0x7617eb04","0x248d987e","0x491cd1a","0x12718bb","0x12658bb","0x84f5227a"
"Corsair","0x126","0xd3db","0xad","0x9","0x49","50","0x56","0x62","0x44","18","95","35","-91","-118","-21","39","1","82","115","-2","58","73","-102","101","0x12","-102","-91","102","-103","4","-102","-91","102","-87","89","38","1","-102","0xa5","0x66","0xa9","0x59","106","150","73","154","165","102","169","89","0x659a966a","0xd72fde12","0x92b7b6e","0x3692fec5","0x2429c5f4","0xf0d1fc01","0x8c12518d","0x24e1abac"
"Prince (Tactician)","0x42eb","0x6ad7","0xa3","0x24","0xa1","228","0x61","0x13","0x8c","-110","-103","-3","-16","6","70","73","-69","-8","20","59","74","2","126","29","0x7c","-103","4","-69","-8","20","59","74","2","-69","-8","20","59","74","0x2","0x99","0xc5","0x9e","213","148","36","1","187","239","234","36","0x3eb5bff6","0x12490d33","0xcb923f03","0x53012618","0x24853e4","0x934bdbf","0x21a16606","0x527a0609"
"Fallen Prince","0x8a92","0x5d22","0x27","0x9","0x7e","61","0x59","0x5e","0x12","-12","-36","74","2","100","65","-13","-35","10","-21","78","90","82","74","-110","0xc6","-49","115","-77","-4","-119","-40","37","-34","123","-100","36","-127","113","0xf6","0xfe","0x52","0x42","51","162","77","186","213","73","26","105","0xf12dda6","0x4925277","0xddf34164","0x782eeb0a","0xda9359a1","0xde5b32b9","0x7b3a5714","0x71819271"
"Prince facing upward","0xfef6","0x4252","0x33","0xa2","0x4d","186","0xd5","0x49","0x6e","120","-19","-92","66","108","63","126","-111","82","-99","4","110","-120","112","62","0xe6","-103","85","-38","47","-85","-109","-13","-52","42","-19","-105","-17","51","0x46","0xbd","0xe6","0x49","243","95","5","251","233","82","186","137","0xf4061279","0x49157261","0xa9b6e28b","0x7f6e072a","0xcfc624ad","0x89fcb373","0x7bde25d8","0x5a06249c"
"Fallen Ninian","0x22ab","0xd509","0x49","0x5f","0x23","165","0x7a","0xe4","0x91","-83","34","9","-59","-18","-110","122","34","-11","-124","38","1","-69","-72","36","0x1","6","102","76","2","6","6","79","2","37","31","23","73","27","0x8b","0x86","0x24","0x7a","30","76","2","159","36","9","121","18","0x315ae07a","0x6d74deab","0xe73d2a65","0xcb0249d6","0x6fa3f548","0xd6c4aa65","0x4404900c","0xb4db122e"
"Fallen Ice Dragon","0xf57e","0x7296","0xa1","0xa6","0xaa","98","0x2d","0x9","0x44","-74","93","-9","92","12","93","115","-105","39","1","58","76","-68","113","-105","0x27","1","122","96","21","73","-18","-118","58","73","-53","-56","72","63","0x9","0x55","0x8e","0x97","4","79","194","118","18","222","175","34","0x202b5e09","0x224f490d","0x1277065","0x3f55ef8d","0x493a850f","0x6332cfdd","0x4f24dd04","0x29987f2d"
"Fallen Warrior","0xc66a","0xba08","0x49","0x36","0x86","94","0x13","0xb2","0xbe","126","-99","36","-116","-100","-62","70","18","122","-56","-123","36","6","-28","118","0x71","-109","126","-75","-72","73","122","-120","-62","-2","87","73","93","-75","0x6b","0xfa","0x7f","0x95","4","141","239","85","235","251","151","151","0xbb51fc04","0xfccb24bc","0x749b3517","0xddfccb93","0x51b43ba0","0x2accf312","0xad4d97ed","0x6eebd62e"
"Child","0x27b1","0xd301","0x49","0x7a","0xbe","54","0xb0","0x4a","0xc6","29","-86","-74","-98","-66","-118","-50","3","-76","-12","-12","-43","-29","-109","4","0x12","3","63","-66","74","2","-69","16","118","33","84","39","1","-115","0xa7","0xfd","0xb6","0x81","197","73","26","254","14","89","157","147","0x56e8aeb7","0x5d990491","0x75ebf0e0","0x58fd142b","0xe8830927","0xa6560d2a","0xde33b516","0x42d030f9"
"Child (F)","0xee12","0x8938","0x95","0xa9","0x8b","159","0x72","0x77","0x26","1","50","118","-37","30","-51","44","36","-121","78","111","47","127","-93","62","0x9d","4","-11","25","49","-109","82","-107","-106","51","-106","-87","-28","-10","0x57","0x49","0x25","0xdf","170","230","47","173","111","183","244","85","0xbaf20612","0x93ccf34f","0x110fc07a","0x4ee8681b","0x24bbafc4","0x242c4ffb","0xd6fc8b01","0x3ffc5ff7"
"Transporter w/ Horse","0xf8bd","0x92a","0x81","0xe0","0x3f","119","0xe3","0x52","0xf5","-103","22","78","2","79","122","-54","27","33","-51","8","-10","6","6","72","0x2","-11","41","-77","-10","99","119","-100","68","18","-18","-54","-120","-10","0x63","0x3d","0xa4","0x7f","18","122","136","201","217","103","103","28","0x6dcc2f29","0xf501256f","0x6637b861","0xb6aa548e","0x7e092360","0xd7f13122","0xca555da3","0x9924abf8"
"Uber Sage","0x8fc5","0xcc3f","0x76","0x21","0xee","54","0x99","0x4","0x45","-3","60","-93","-75","-49","-23","-45","73","59","-55","62","-122","-76","-66","36","0xbb","127","18","79","122","-54","27","33","-51","8","-10","113","121","18","0x9f","0x94","0xc9","0x6e","133","66","229","107","212","98","137","127","0xb54b29fe","0x14e7bb24","0x81a3931","0xad6e16e3","0xf50493ae","0x24e9c361","0x3ed68cf3","0xb2ae37a7"
"Archer in Ballista","0xe33b","0x9845","0xdc","0xd5","0xff","171","0x24","0x7e","0xdd","-62","90","18","-12","44","-111","100","-109","85","36","1","-76","-49","-48","107","0xa3","-53","4","-22","36","-95","52","-59","-7","16","123","54","-45","-41","0x5d","0xaa","0x93","0x4","222","117","181","2","115","169","38","175","0x124ea525","0x4cd35bf6","0x6f7a5bb","0x93bf621f","0x810493ec","0xfe3f3af7","0xb33532b0","0xe24f490b"
"Archer in Iron Ballista","0xd83f","0xcad2","0x54","0xb1","0xd7","211","0x7b","0x63","0x19","-70","112","39","65","18","54","-12","-37","-34","74","2","18","-36","22","75","0x49","-34","15","45","97","47","-10","79","-30","63","-40","-46","-20","115","0xa8","0x82","0xb5","0x24","161","180","145","51","14","85","187","138","0x8ce40624","0x4caea49","0xa91a9236","0xafbf4373","0xe074e155","0x64496b5f","0x8358cefb","0xd0326a5e"
"Archer in Killer Ballista","0x57c2","0xf649","0x8f","0x58","0x99","170","0x7","0xca","0xc0","-80","20","41","95","-107","-110","126","-46","-48","51","95","122","-34","11","95","0x25","1","-21","66","-73","-127","102","84","-91","95","69","18","69","125","0x20","0xd0","0x90","0x4","138","218","126","220","157","80","253","146","0x49c40604","0x687529ac","0x242186d0","0xca188301","0xfa169bd4","0x27aa60d5","0x768e5501","0x68167fdb"
"Empty Ballista","0x23dc","0x4abe","0x2","0xf3","0xcc","42","0xed","0x97","0x49","-103","-3","20","-10","76","23","-74","-67","38","1","-34","-49","-52","15","-53","0x22","9","-34","-9","-14","-38","-22","-112","-101","-107","-87","59","76","-39","0xed","0xe2","0x26","0x1","69","189","129","50","126","101","106","166","0x7d459385","0xff09f3b1","0xc2e8658d","0x7d45499d","0xcfd7197d","0xeb45d7e9","0xd6fc8b92","0xfa9dff7"
"Empty Iron Ballista","0xf292","0x6424","0xc1","0x2f","0xc9","238","0x1f","0x5e","0xb5","-62","78","-78","-113","33","-83","36","79","34","-123","80","-90","-105","-110","-127","0x97","108","82","-9","-6","-71","-59","82","77","38","-4","-42","39","-12","0x85","0xac","0x3f","0x5e","72","2","191","245","9","125","161","80","0x7e9310b9","0xa72dc2ed","0x45049165","0x297297fd","0x7ecf855b","0x490d1ae","0x2863f2a6","0x5bfcebf7"
"Empty Killer Ballista","0x2e3e","0xb326","0xfa","0xdc","0x20","9","0x7e","0xca","0x6a","-113","88","-78","-2","67","68","-126","36","126","-54","106","-113","88","-78","-2","0x43","68","-126","-72","60","9","-117","127","89","-31","-11","84","79","2","0x81","0xf0","0xed","0x8c","35","181","151","237","209","207","214","111","0x264fb8d1","0xadb64409","0xf5f85e3f","0x169c7c8a","0x4f01241a","0xd2d83fe2","0xd7b154ca","0x19637bd3"
"Empty (Make a custom class!)","0x70ba","0x4127","0x5c","0x9e","0x4","113","0x99","0x55","0x56","-90","-118","-67","-52","-7","101","46","19","-70","-97","101","86","-12","99","-99","0x24","-35","-49","50","-109","-79","-63","10","73","-115","63","-31","-1","109","0xfd","0xec","0x6b","0x55","35","81","18","161","214","219","152","124","0x86439670","0x5908254a","0x490bc7f","0x5ff4fe7a","0x455dea99","0x7dbf9313","0xa4d8df83","0x627e5fcb"
"Empty (Make a custom class!)","0xf12","0xe244","0xa6","0xf4","0x85","32","0x49","0xad","0x7e","23","-109","89","-47","-113","117","-110","69","-67","-41","-6","97","-35","75","36","0x45","69","-109","4","-34","55","-23","-31","7","-37","15","-99","4","126","0xa","0xa","0x17","0xd2","141","95","98","18","26","145","108","56","0xefde93d5","0xf6df696e","0x75d97073","0xe1af2592","0x4bfbfec9","0x27513ef6","0x3f5df509","0x1a7e24e4"
