"0xccecec","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xc7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc8","0xda","0x22","0x0","0xa4","11","5","0xb","0x5","0x3a","0x3b","0x4e","0x0","0x3","0x3","0xa","0x0"
"0xc9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xca","0x44","0x45","0x0","0xa4","13","5","0xd","0x5","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xcb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcc","0x86","0x46","0x0","0xa4","12","4","0xc","0x4","0x8f","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0xcd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xce","0x1","0x1","0x0","0x49","8","19","0x8","0x13","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcf","0x2","0x3","0x1","0x41","9","18","0x9","0x12","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xd0","0x2d","0x2","0x1","0x41","7","18","0x7","0x12","0xa","0x1","0xe","0x6b","0x0","0x0","0x0","0x0"
"0xd1","0xb","0x14","0x1","0x49","6","20","0x6","0x14","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd2","0x1a","0x2a","0x1","0x28","10","20","0xa","0x14","0x3","0x16","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd4","0x13","0x20","0x1","0x51","8","20","0x8","0x14","0x37","0x38","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd5","0x16","0x26","0x1","0x41","12","18","0xc","0x12","0x44","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd6","0x30","0x28","0x1","0x51","12","21","0xc","0x15","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xd7","0x19","0x28","0x1","0x59","11","19","0xb","0x13","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0xd8","0x1b","0x2c","0x1","0x31","11","20","0xb","0x14","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xd9","0x31","0x32","0x1","0x39","12","20","0xc","0x14","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xda","0x23","0x3c","0x1","0x31","11","17","0xb","0x11","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xdb","0x6","0xe","0x1","0x21","7","21","0x7","0x15","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xdc","0x8","0x12","0x1","0x29","8","21","0x8","0x15","0x1f","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xdd","0x9","0x12","0x1","0x29","9","21","0x9","0x15","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xde","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xdf","0x44","0x45","0x0","0xa4","11","5","0xb","0x5","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xe0","0x7b","0x4b","0x0","0x92","14","6","0xe","0x6","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xe1","0xda","0x22","0x0","0xa4","11","12","0xb","0xc","0x3a","0x3b","0x4e","0x0","0x3","0x3","0xa","0x0"
"0xe2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
