"0xcdded0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xc7","0xeb","0x34","0x85","0x85","25","16","0x19","0x10","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc8","0xeb","0x2d","0x85","0x45","8","1","0x8","0x1","0x39","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc9","0xeb","0x2d","0x85","0x45","9","0","0x9","0x0","0x39","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xca","0xeb","0x2d","0x85","0x45","8","0","0x8","0x0","0x39","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xcb","0xeb","0x2d","0x85","0x45","7","0","0x7","0x0","0x39","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xcc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcd","0xeb","0x28","0x85","0x85","11","14","0xb","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xce","0xeb","0x28","0x85","0x85","12","15","0xc","0xf","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xcf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd0","0xeb","0x16","0x85","0x45","24","6","0x18","0x6","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd1","0xeb","0x14","0x85","0x85","24","6","0x17","0x5","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd2","0xeb","0x14","0x85","0x85","24","6","0x19","0x5","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd3","0xeb","0x14","0x85","0x85","24","6","0x19","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd4","0xeb","0x14","0x85","0x85","24","6","0x17","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd6","0xeb","0x2a","0x85","0x45","24","6","0x18","0x6","0x4","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd7","0xeb","0x28","0x85","0x85","23","5","0x17","0x5","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd8","0xeb","0x28","0x85","0x85","25","5","0x19","0x5","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd9","0xeb","0x28","0x85","0x85","25","7","0x19","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xda","0xeb","0x28","0x85","0x85","23","7","0x17","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xdb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xdc","0xeb","0x1a","0x85","0x45","24","6","0x18","0x6","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xdd","0xeb","0x1a","0x85","0x45","23","5","0x17","0x5","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xde","0xeb","0x1a","0x85","0x45","25","5","0x19","0x5","0x2e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xdf","0xeb","0x1a","0x85","0x45","25","7","0x19","0x7","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe0","0xeb","0x1a","0x85","0x45","23","7","0x17","0x7","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe2","0xeb","0x2a","0x85","0x45","24","6","0x18","0x6","0x4","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe3","0xeb","0x28","0x85","0x85","23","5","0x17","0x5","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe4","0xeb","0x28","0x85","0x85","25","5","0x19","0x5","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe5","0xeb","0x28","0x85","0x85","25","7","0x19","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe6","0xeb","0x28","0x85","0x85","23","7","0x17","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe7","0xeb","0x14","0x85","0x85","22","6","0x16","0x6","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe8","0xeb","0x14","0x85","0x85","26","6","0x1a","0x6","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe9","0xeb","0x14","0x85","0x85","24","8","0x18","0x8","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xea","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xeb","0xeb","0x24","0x85","0x85","24","6","0x18","0x6","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xec","0xeb","0x24","0x85","0x85","23","5","0x17","0x5","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xed","0xeb","0x26","0x85","0x45","25","5","0x19","0x5","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xee","0xeb","0x24","0x85","0x85","25","7","0x19","0x7","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xef","0xeb","0x24","0x85","0x85","23","7","0x17","0x7","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf0","0xeb","0x24","0x85","0x85","22","6","0x16","0x6","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf1","0xeb","0x24","0x85","0x85","26","6","0x1a","0x6","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf2","0xeb","0x24","0x85","0x85","24","8","0x18","0x8","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf4","0xeb","0x2a","0x85","0x45","16","13","0x10","0xd","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf5","0xeb","0x28","0x85","0x85","15","12","0xf","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf6","0xeb","0x28","0x85","0x85","17","12","0x11","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf8","0xeb","0x2a","0x85","0x45","16","13","0x10","0xd","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf9","0xeb","0x28","0x85","0x85","15","12","0xf","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfa","0xeb","0x28","0x85","0x85","17","12","0x11","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfb","0xeb","0x28","0x85","0x85","15","14","0xf","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfc","0xeb","0x28","0x85","0x85","17","14","0x11","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xfe","0xeb","0x2a","0x85","0x45","16","13","0x10","0xd","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xff","0xeb","0x28","0x85","0x85","15","12","0xf","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x100","0xeb","0x28","0x85","0x85","17","12","0x11","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x101","0xeb","0x28","0x85","0x85","15","14","0xf","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x102","0xeb","0x28","0x85","0x85","17","14","0x11","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x103","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x104","0xeb","0x1e","0x85","0x45","16","13","0x10","0xd","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x105","0xeb","0x1c","0x85","0xa5","15","12","0xf","0xc","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x106","0xeb","0x1c","0x85","0xa5","17","12","0x11","0xc","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x107","0xeb","0x1c","0x85","0xa5","15","14","0xf","0xe","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x108","0xeb","0x1c","0x85","0xa5","17","14","0x11","0xe","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x109","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10a","0xeb","0x30","0x85","0x45","27","27","0x1b","0x1b","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x10b","0xeb","0x30","0x85","0x45","27","29","0x1b","0x1d","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x10c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10d","0xeb","0x39","0x85","0x85","25","27","0x19","0x1b","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x10e","0xeb","0x39","0x85","0x85","27","27","0x1b","0x1b","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x10f","0xeb","0x13","0x85","0x35","26","28","0x1a","0x1c","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x110","0xeb","0x39","0x85","0x85","25","29","0x19","0x1d","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x111","0xeb","0x39","0x85","0x85","27","29","0x1b","0x1d","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x112","0xeb","0x13","0x85","0x35","26","28","0x1a","0x1c","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x113","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x114","0xeb","0x30","0x85","0x45","27","27","0x1b","0x1b","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x115","0xeb","0x30","0x85","0x45","27","29","0x1b","0x1d","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x116","0xeb","0x30","0x85","0x45","25","29","0x19","0x1d","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x117","0xeb","0x30","0x85","0x45","27","26","0x1b","0x1a","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x118","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x119","0xeb","0x20","0x85","0x85","25","27","0x19","0x1b","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11a","0xeb","0x20","0x85","0x85","27","27","0x1b","0x1b","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11b","0xeb","0x22","0x85","0x35","26","28","0x1a","0x1c","0x39","0x3a","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11c","0xeb","0x20","0x85","0x85","25","29","0x19","0x1d","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11d","0xeb","0x20","0x85","0x85","27","29","0x1b","0x1d","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11e","0xeb","0x22","0x85","0x35","26","28","0x1a","0x1c","0x39","0x51","0x0","0x0","0x0","0x0","0xa","0x0"
"0x11f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x120","0xeb","0x39","0x85","0x85","27","16","0x1b","0x10","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x121","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x122","0xeb","0x39","0x85","0x85","16","0","0x10","0x0","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x123","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x124","0xeb","0x13","0x85","0x45","1","7","0x1","0x7","0x27","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x125","0xeb","0x39","0x85","0x85","2","6","0x2","0x6","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x126","0xeb","0x39","0x85","0x85","0","6","0x0","0x6","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x127","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x128","0xeb","0x30","0x85","0x45","1","7","0x1","0x7","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x129","0xeb","0x30","0x85","0x35","2","6","0x2","0x6","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12a","0xeb","0x30","0x85","0x35","0","8","0x0","0x8","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12b","0xeb","0x30","0x85","0x35","2","8","0x2","0x8","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12c","0xeb","0x30","0x85","0x35","0","6","0x0","0x6","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12e","0xeb","0x13","0x85","0x45","1","7","0x1","0x7","0x27","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12f","0xeb","0x39","0x85","0x85","2","6","0x2","0x6","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x130","0xeb","0x39","0x85","0x85","0","6","0x0","0x6","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x131","0xeb","0x39","0x85","0x85","0","8","0x0","0x8","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x132","0xeb","0x39","0x85","0x85","2","8","0x2","0x8","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x133","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x134","0xeb","0x30","0x85","0x45","1","7","0x1","0x7","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x135","0xeb","0x30","0x85","0x35","2","6","0x2","0x6","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x136","0xeb","0x30","0x85","0x35","0","8","0x0","0x8","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x137","0xeb","0x30","0x85","0x35","2","8","0x2","0x8","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x138","0xeb","0x30","0x85","0x35","0","6","0x0","0x6","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x139","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13a","0xeb","0x28","0x85","0x85","11","14","0xb","0xe","0x16","0x0","0x0","0x0","0x0","0xe","0xa","0x0"
"0x13b","0xeb","0x28","0x85","0x85","12","15","0xc","0xf","0x16","0x0","0x0","0x0","0x0","0xe","0xa","0x0"
"0x13c","0xeb","0x33","0x85","0x55","1","0","0x1","0x0","0x16","0x0","0x0","0x0","0x0","0xe","0xa","0x0"
"0x13d","0xeb","0x33","0x85","0x55","0","1","0x0","0x1","0x16","0x0","0x0","0x0","0x0","0xe","0xa","0x0"
"0x13e","0xeb","0x30","0x85","0x45","27","28","0x1b","0x1c","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x13f","0xeb","0x30","0x85","0x45","26","29","0x1a","0x1d","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0x140","0xeb","0x34","0x85","0x85","18","29","0x12","0x1d","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x141","0xeb","0x34","0x85","0x85","20","29","0x14","0x1d","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x142","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x143","0xc","0x3b","0x0","0x92","8","3","0x8","0x3","0x0","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x144","0x26","0x41","0x0","0x18","7","3","0x7","0x3","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x145","0x1","0x7","0x0","0x29","7","5","0x7","0x5","0x4","0x9","0xd","0x16","0x0","0x0","0x0","0x0"
"0x146","0x2","0x9","0x0","0x19","6","4","0x6","0x4","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x147","0x2d","0x8","0x0","0x29","8","5","0x8","0x5","0xa","0x4","0x12","0x2d","0x0","0x0","0x0","0x0"
"0x148","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x149","0x33","0x3a","0x0","0x40","8","7","0x8","0x7","0x20","0x28","0x6f","0x0","0x0","0x0","0x0","0x0"
"0x14a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14b","0x44","0x26","0x0","0xa4","11","5","0xb","0x5","0x8e","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0x14c","0x85","0x5a","0x0","0xa4","13","5","0xd","0x5","0x3a","0x3b","0x4e","0x0","0x3","0x3","0xa","0x0"
"0x14d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14e","0x1","0x7","0x0","0x29","3","26","0x3","0x1a","0x4","0x9","0xd","0x16","0x0","0x0","0x0","0x0"
"0x14f","0x2","0x9","0x0","0x19","3","28","0x3","0x1c","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x150","0x2d","0x8","0x0","0x29","4","27","0x4","0x1b","0xa","0x4","0x12","0x2d","0x0","0x0","0x0","0x0"
"0x151","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x152","0x26","0x41","0x0","0x18","0","25","0x1","0x19","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x153","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x154","0x85","0x5a","0x0","0xa4","2","23","0x2","0x17","0x3a","0x3b","0x4e","0x0","0x3","0x3","0xa","0x0"
"0x155","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x156","0x1","0x7","0x0","0x29","24","3","0x18","0x3","0x4","0x9","0xd","0x16","0x0","0x0","0x0","0x0"
"0x157","0x2","0x9","0x0","0x19","24","5","0x18","0x5","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x158","0x2d","0x8","0x0","0x29","23","4","0x17","0x4","0xa","0x4","0x12","0x2d","0x0","0x0","0x0","0x0"
"0x159","0x26","0x41","0x0","0x18","26","4","0x1a","0x4","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
