"0xcd53bc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xc7","0x25","0x40","0x0","0x8","6","9","0x6","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc8","0xda","0x41","0x0","0x1a","7","10","0x7","0xa","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xca","0x2b","0x37","0x0","0x54","0","1","0x6","0x7","0x77","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xcb","0x70","0x34","0x2b","0x5d","0","2","0x7","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xcc","0x70","0x34","0x2b","0x5d","0","0","0x5","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xcd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xce","0x1","0x1","0x0","0x79","1","9","0x1","0x9","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcf","0x2","0x3","0x1","0x71","3","8","0x3","0x8","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xd0","0x2d","0x2","0x1","0x61","1","6","0x1","0x6","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xd1","0x25","0x40","0x0","0x8","1","10","0x1","0xa","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd2","0xda","0x41","0x0","0x1a","2","8","0x2","0x8","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd4","0x1","0x1","0x0","0x79","3","9","0x8","0x5","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd5","0x2","0x3","0x1","0x71","2","9","0x7","0x4","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xd6","0x2d","0x2","0x1","0x61","4","9","0x9","0x4","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xd7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd8","0x25","0x40","0x0","0x8","3","9","0x7","0x6","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd9","0xda","0x41","0x0","0x1a","4","9","0x9","0x6","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xda","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
