"0xcd0884","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xc9","0xda","0x41","0x0","0xa","10","1","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xca","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcb","0x25","0x40","0x0","0x18","12","0","0xc","0x0","0x6b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcd","0x29","0x49","0x0","0xa","10","1","0xa","0x1","0x0","0x0","0x0","0x0","0x6","0x3","0x2","0x0"
"0xce","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcf","0x50","0x2a","0x50","0x34","21","22","0x13","0x15","0x1d","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0xd0","0x20","0x34","0x0","0x3c","21","22","0x13","0x16","0x1a","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd2","0x6d","0x18","0x50","0x4d","10","22","0xa","0xf","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xd3","0x6d","0x20","0x50","0x45","0","12","0x5","0xe","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xd4","0x6d","0x24","0x50","0x45","11","22","0xb","0xf","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xd5","0x6d","0x20","0x50","0x45","21","12","0x10","0xe","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xd6","0x6d","0x28","0x50","0x3d","10","22","0xa","0x13","0x3","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xd7","0x6d","0x12","0x50","0x45","21","12","0x12","0xe","0x28","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xd8","0x6d","0x2e","0x50","0x3d","11","22","0xb","0x13","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xd9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xda","0x2a","0x16","0x50","0x3b","7","2","0x7","0x2","0x0","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xdb","0xdc","0x2a","0x50","0x3b","6","1","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xdc","0xdc","0x2a","0x50","0x3b","8","1","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xdd","0x1","0x1","0x0","0x58","6","4","0x6","0x4","0x9","0x3","0x0","0x0","0x0","0x0","0x0","0x0"
"0xde","0x2","0x3","0x0","0x50","7","4","0x7","0x4","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xdf","0x2d","0x2","0x0","0x50","7","5","0x7","0x5","0xa","0x1","0xe","0x6b","0x0","0x0","0x0","0x0"
"0xe0","0x25","0x40","0x0","0x18","6","10","0x6","0xa","0x6b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe1","0x29","0x49","0x0","0xa","6","11","0x6","0xb","0x0","0x0","0x0","0x0","0x6","0x3","0x2","0x0"
"0xe2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe3","0xdc","0x38","0x50","0x3d","11","22","0xb","0x15","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xe4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
