"0xcda738","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xcb","0x66","0xc","0x0","0x94","7","5","0x7","0x5","0x10","0x7b","0x0","0x0","0x3","0x3","0xa","0x0"
"0xcc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcd","0x21","0x37","0x0","0x4c","28","25","0x1c","0x18","0x1d","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xce","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcf","0x70","0x34","0x0","0x75","28","25","0x1c","0x19","0x18","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xd0","0x70","0x34","0x0","0x75","28","26","0x1c","0x1a","0x18","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0xd1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd2","0x70","0x28","0x0","0x75","23","1","0x17","0x1","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd3","0x70","0x2a","0x0","0x45","22","1","0x16","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd4","0x70","0x2e","0x0","0x75","21","1","0x15","0x1","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd6","0x70","0x28","0x0","0x75","23","1","0x17","0x1","0x18","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd7","0x70","0x2a","0x0","0x45","22","1","0x16","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd8","0x70","0x2e","0x0","0x75","21","1","0x15","0x1","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xd9","0x70","0x2e","0x0","0x75","21","1","0x15","0x2","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xda","0x70","0x28","0x0","0x75","23","1","0x17","0x2","0x18","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0xdb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xdc","0x70","0x2d","0x0","0x45","23","1","0x17","0x1","0x38","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xdd","0x70","0x2d","0x0","0x45","21","1","0x15","0x1","0x38","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xde","0x70","0x2d","0x0","0x45","21","1","0x15","0x0","0x38","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xdf","0x70","0x2d","0x0","0x45","21","1","0x17","0x2","0x38","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe1","0x70","0x16","0x0","0x45","15","11","0xf","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe2","0x70","0x14","0x0","0x75","15","10","0xf","0xa","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe3","0x70","0x14","0x0","0x75","15","12","0xf","0xc","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe5","0x70","0x16","0x0","0x45","15","11","0xf","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe6","0x70","0x14","0x0","0x75","15","10","0xf","0xa","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe7","0x70","0x14","0x0","0x75","15","12","0xf","0xc","0x1e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe8","0x70","0x14","0x0","0x75","15","10","0xe","0xb","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xe9","0x70","0x14","0x0","0x75","15","10","0x10","0xb","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xea","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xeb","0x70","0x1e","0x0","0x45","15","11","0xf","0xb","0x40","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xec","0x70","0x1c","0x0","0x75","15","10","0xf","0xa","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xed","0x70","0x1c","0x0","0x75","15","12","0xf","0xc","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xee","0x70","0x1c","0x0","0x75","15","10","0x10","0xa","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xef","0x70","0x1c","0x0","0x75","15","10","0xe","0xc","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf1","0x70","0xc","0x0","0x45","7","15","0x7","0xf","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf2","0x70","0xa","0x0","0x75","8","15","0x8","0xf","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf3","0x70","0xe","0x0","0x75","6","15","0x6","0xf","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xf4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf5","0x70","0xc","0x0","0x45","7","15","0x7","0xf","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf6","0x70","0xa","0x0","0x75","8","15","0x8","0xf","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf7","0x70","0xe","0x0","0x75","6","15","0x6","0xf","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xf8","0x70","0xa","0x0","0x75","8","15","0x7","0x10","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xf9","0x70","0xe","0x0","0x75","6","15","0x7","0xe","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xfb","0x70","0x26","0x0","0x45","7","15","0x7","0xf","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfc","0x70","0x24","0x0","0x75","8","15","0x8","0xf","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfd","0x70","0x24","0x0","0x75","6","15","0x6","0xf","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xfe","0x70","0x24","0x0","0x75","8","15","0x8","0xe","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xff","0x70","0x24","0x0","0x75","8","15","0x6","0x10","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x100","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x101","0x70","0x34","0x0","0x75","28","24","0x1c","0x18","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x102","0x70","0x34","0x0","0x75","28","25","0x1c","0x19","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x103","0x70","0x34","0x0","0x75","28","26","0x1c","0x1a","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x104","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x105","0x70","0x34","0x0","0x75","28","24","0x1c","0x18","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x106","0x70","0x34","0x0","0x75","28","25","0x1c","0x19","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x107","0x70","0x34","0x0","0x75","28","26","0x1c","0x1a","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x108","0x70","0x34","0x0","0x75","28","25","0x1b","0x1a","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x109","0x70","0x34","0x0","0x75","28","25","0x1a","0x1a","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x10a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10b","0x70","0x2e","0x0","0x75","7","14","0x7","0x8","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x10c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10d","0x1","0x1","0x0","0x91","25","23","0x19","0x17","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x10e","0x2","0x3","0x0","0x91","26","25","0x1a","0x19","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x10f","0x2d","0x8","0x0","0x9","24","24","0x18","0x18","0xa","0x3","0x12","0x2c","0x0","0x0","0x0","0x0"
"0x110","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x111","0x14","0x21","0x0","0x20","23","25","0x17","0x19","0x38","0x6b","0x0","0x0","0x6","0x3","0xa","0x0"
"0x112","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x113","0x24","0x3e","0x0","0x50","24","25","0x18","0x19","0x4","0x3","0x6c","0x0","0x7","0x3","0x10","0x0"
"0x114","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x115","0x70","0xe","0x0","0x75","20","16","0x16","0x14","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x116","0x70","0xe","0x0","0x75","19","15","0x15","0x14","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x117","0x70","0xe","0x0","0x75","19","14","0x14","0x14","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x118","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x119","0x1","0x1","0x0","0x91","7","6","0x7","0x6","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x11a","0x2","0x3","0x0","0x91","9","12","0x9","0xc","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x11b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11c","0x2","0x3","0x0","0x91","7","6","0x7","0x6","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x11d","0x1","0x1","0x0","0x91","9","12","0x9","0xc","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x11e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11f","0x2d","0x2","0x0","0x61","10","13","0xa","0xd","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x120","0x25","0x40","0x0","0x8","9","14","0x9","0xe","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x121","0xda","0x41","0x0","0x1a","10","14","0xa","0xe","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x122","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x123","0x26","0x41","0x0","0x18","9","11","0x9","0xb","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x124","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x125","0x14","0x21","0x0","0x20","5","19","0x5","0x13","0x38","0x6b","0x0","0x0","0x6","0x3","0xa","0x0"
"0x126","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x127","0x24","0x3e","0x0","0x50","6","19","0x6","0x13","0x4","0x3","0x6c","0x0","0x7","0x3","0x10","0x0"
"0x128","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x129","0x27","0x42","0x0","0x92","6","7","0x6","0x7","0x3c","0x86","0x84","0x85","0x0","0x0","0x0","0x0"
"0x12a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12b","0x44","0x45","0x0","0x55","7","12","0x7","0xc","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0x12c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12d","0x70","0x1a","0x0","0x45","6","6","0x6","0x6","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x12e","0x70","0x2a","0x0","0x45","8","6","0x8","0x6","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x12f","0x70","0x16","0x0","0x45","6","7","0x6","0x7","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x130","0x70","0xc","0x0","0x45","5","7","0x5","0x7","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x131","0x70","0x2e","0x0","0x75","8","7","0x8","0x7","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x132","0x70","0xe","0x0","0x75","9","7","0x9","0x7","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x133","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
